gene_stable_id	transcript_stable_id	protein_stable_id	xref	xref_pos	db_name	transcript_stable_version	xref_version
ENSG00000000457	ENST00000367770	ENSP00000356744	Q8IZE3-1	2-245	Uniprot/SWISSPROT	ENST00000367770.5	Q8IZE3.173
ENSG00000000457	ENST00000367771	ENSP00000356745	Q8IZE3-2	2-245	Uniprot/SWISSPROT	ENST00000367771.11	Q8IZE3.173
ENSG00000000457	ENST00000367772	ENSP00000356746	Q8IZE3-1	2-245	Uniprot/SWISSPROT	ENST00000367772.8	Q8IZE3.173
ENSG00000000457	ENST00000423670	ENSP00000407993	X6RHX1	1-245	Uniprot/SPTREMBL	ENST00000423670.1	X6RHX1.45
ENSG00000000938	ENST00000374003	ENSP00000363115	P09769	263-516	Uniprot/SWISSPROT	ENST00000374003.7	P09769.227
ENSG00000000938	ENST00000374004	ENSP00000363116	P09769	263-516	Uniprot/SWISSPROT	ENST00000374004.5	P09769.227
ENSG00000000938	ENST00000374005	ENSP00000363117	P09769	263-516	Uniprot/SWISSPROT	ENST00000374005.8	P09769.227
ENSG00000000938	ENST00000399173	ENSP00000382126	P09769	263-516	Uniprot/SWISSPROT	ENST00000399173.5	P09769.227
ENSG00000000938	ENST00000457296	ENSP00000407670	Q5TGY6	263-312	Uniprot/SPTREMBL	ENST00000457296.5	Q5TGY6.145
ENSG00000004660	ENST00000348335	ENSP00000323118	Q8N5S9-1	128-409	Uniprot/SWISSPROT	ENST00000348335.7	Q8N5S9.173
ENSG00000004660	ENST00000381769	ENSP00000371188	J3KPJ3	155-436	Uniprot/SPTREMBL	ENST00000381769.6	J3KPJ3.78
ENSG00000006062	ENST00000344686	ENSP00000478552	Q99558	400-655	Uniprot/SWISSPROT	ENST00000344686.8	Q99558.209
ENSG00000006062	ENST00000376926	ENSP00000482657	Q99558	400-655	Uniprot/SWISSPROT	ENST00000376926.8	Q99558.209
ENSG00000006062	ENST00000617331	ENSP00000480974	Q99558	400-655	Uniprot/SWISSPROT	ENST00000617331.3	Q99558.209
ENSG00000006062	ENST00000680632	ENSP00000505027	A0A7P0Z419	16-266	Uniprot/SPTREMBL	ENST00000680632.1	A0A7P0Z419.5
ENSG00000006432	ENST00000381250	ENSP00000370649	J3KPI6	144-412	Uniprot/SPTREMBL	ENST00000381250.8	J3KPI6.74
ENSG00000006432	ENST00000553414	ENSP00000451038	G3V347	1-106	Uniprot/SPTREMBL	ENST00000553414.5	G3V347.77
ENSG00000006432	ENST00000554146	ENSP00000451921	G3V4P9	1-149	Uniprot/SPTREMBL	ENST00000554146.1	G3V4P9.70
